Business Name,Industry Category,Business Description,Location,Google Maps Profile Link,OpenStreetMap Link,Website URL,Website Classification,Website Status Code,HTTPS Used,Contact Page Found,Services Page Found,Website Analysis Reason,Online Presence Type,Referral Platform Links,Phone Number,Email Address,Owner / Founder Name,LinkedIn Profile,Lead Score,Business Potential Category,Reason for Classification,Detailed Score Reason,Source,Scrape Status,Created Date
Ethereal Skin and Laser Clinique,laboratory,Laboratory listed on OpenStreetMap,Indore,"https://www.google.com/maps/search/?api=1&query=22.7578314,75.9036431",https://www.openstreetmap.org/node/6187463487,https://www.latlong.net/poi/ethereal-skin-and-laser-clinique-396355,Poor Website,,,,,,Official Website Found,https://www.justdial.com/Indore/Skin-Clinics/nct-10438800 | https://www.practo.com/indore/clinics/skin-clinics | https://www.justdial.com/Indore/Cosmetic-Laser-Surgeons/nct-10139619,07312550202,,,,50,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available; Business appears on third-party platforms,OpenStreetMap,Completed,2026-06-27
Ayurveda Amratam,hospital,Hospital listed on OpenStreetMap,"C-46, basant vihar, indore","https://www.google.com/maps/search/?api=1&query=22.7571686,75.9026775",https://www.openstreetmap.org/node/6187463098,https://www.exportersindia.com/amratam-health-care-pvt-ltd/contact.htm,Poor Website,,,,,,Official Website Found,https://mapcarta.com/N6187463098 | https://www.justdial.com/Indore/Amratam-Health-Care-Pvt-Ltd-Near-By-Dmart-Chhota-Bangarda/0731PX731-X731-231028132600-D6T1_BZDET | https://www.indiamart.com/amratam-healthcare/profile.html,9893924049,,,,50,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available; Business appears on third-party platforms,OpenStreetMap,Completed,2026-06-27
Dr.R.S Rathore,clinic,Clinic listed on OpenStreetMap,"159, anurag nagar, indore","https://www.google.com/maps/search/?api=1&query=22.7622104,75.9038423",https://www.openstreetmap.org/node/6187463100,https://dr-r-s-rathore.weebly.com/contact-us.html,Poor Website,,,,,,Official Website Found,https://www.lybrate.com/indore/doctor/dr-r-s-rathore-family-practitioner | https://www.lybrate.com/indore/clinic/rathore-clinic-nipania | https://www.justdial.com/Indore/Dr-Abhishek-Rathore-Super-Speciality-Hospital-Vijay-Nagar/0731PX731-X731-250825211256-G3M3_BZDET,07312577612,,,,50,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available; Business appears on third-party platforms,OpenStreetMap,Completed,2026-06-27
Dr. Hemlata Kulkarni,dentist,Dentist listed on OpenStreetMap,Indore,"https://www.google.com/maps/search/?api=1&query=22.7575482,75.8848214",https://www.openstreetmap.org/node/6189270339,https://www.shalby.org/,Poor Website,,,,,,Official Website Found,https://en.wikipedia.org/wiki/Wikipedia:Vital_articles/List_of_all_articles,9977416975,info@shalby.org,,https://in.linkedin.com/company/shalby-hospitals,50,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available; Business appears on third-party platforms,OpenStreetMap,Completed,2026-06-27
श्री नेत्रालय- डॉ आर एस पलोड़,doctors,Doctors listed on OpenStreetMap,Indore,"https://www.google.com/maps/search/?api=1&query=22.7537391,75.8857548",https://www.openstreetmap.org/node/6187453385,https://www.shalby.org/,Poor Website,,,,,,Official Website Found,https://en.wikipedia.org/wiki/Wikipedia:Vital_articles/List_of_all_articles,9479459973,info@shalby.org,,https://in.linkedin.com/company/shalby-hospitals,50,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available; Business appears on third-party platforms,OpenStreetMap,Completed,2026-06-27
Suhan Pathology,laboratory,Laboratory listed on OpenStreetMap,Indore,"https://www.google.com/maps/search/?api=1&query=22.7538689,75.9053564",https://www.openstreetmap.org/node/6187434747,https://indore.idbf.in/pathology-labs,Poor Website,,,,,,Official Website Found,https://www.justdial.com/Indore/Suhan-Pathology-Opp-Jain-Mithhai-Uttam-Bhog-Mahalaxmi-Nagar/0731PX731-X731-190107153430-H5A3_BZDET/photos | https://www.justdial.com/Indore/Suhan-Pathology-Opposite-Jain-Mithhai-Uttam-Bhog-Mahalaxmi-Nagar/0731PX731-X731-190107153430-H5A3_BZDET,7869916166,,,,50,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available; Business appears on third-party platforms,OpenStreetMap,Completed,2026-06-27
Care Ayurveda Clinic,hospital,Hospital listed on OpenStreetMap,"FH-449, Scheme no.54, Vijay Nagar, Indore","https://www.google.com/maps/search/?api=1&query=22.7537292,75.8877182",https://www.openstreetmap.org/node/6187439584,https://yellowpages.webindia123.com/d-py/madhya-pradesh/indore/panchakarma-centers-1575/1/,Poor Website,,,,,,Official Website Found,https://mapcarta.com/N6187574785,9827089853,,,,50,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available; Business appears on third-party platforms,OpenStreetMap,Completed,2026-06-27
Shri Ram Medical Store,pharmacy,Pharmacy listed on OpenStreetMap,"101, Ganga Devi Nagar, Vijyanagar, Indore","https://www.google.com/maps/search/?api=1&query=22.7506670,75.9001100",https://www.openstreetmap.org/node/6187444637,https://www.shrirammedicals.com/,Poor Website,,,,,,Official Website Found,https://www.justdial.com/Indore/Shri-Ram-Medical-Store-Vijay-Nagar/0731PX731-X731-211001183027-V8X6_BZDET | https://sites.google.com/view/shrirammedicalstore-com/home | https://www.indiamart.com/shree-ram-medical-agencies-indore/,8878967887,ramnivaskushwaha9517@gmail.com,Neighborhood Medical,,50,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available; Business appears on third-party platforms,OpenStreetMap,Completed,2026-06-27
Sheanil Clinic,clinic,Clinic listed on OpenStreetMap,"5 - Oriental Complex, Scheme No. 54, Vijay Nagar, Indore","https://www.google.com/maps/search/?api=1&query=22.7562669,75.8936003",https://www.openstreetmap.org/node/6187452263,https://www.skedoc.com/indore/hospital/snahil-clinic-vijay-nagar,Poor Website,,,,,,Official Website Found,https://www.practo.com/Indore/clinic/snehil-clinic-vijay-nagar | https://www.medindia.net/directories/hospitals/madhya-pradesh/indore/index.htm | https://mapcarta.com/N6187452262,07312550365,contact@skedoc.com,,https://www.linkedin.com/company/skedoc,50,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available; Business appears on third-party platforms,OpenStreetMap,Completed,2026-06-27
Aura Wellness Center,pharmacy,Pharmacy listed on OpenStreetMap,"1 st Floor, Bhamori Plaza, Badi Bhamori, Part II, Nanda Nagar, Indore","https://www.google.com/maps/search/?api=1&query=22.7471855,75.8883532",https://www.openstreetmap.org/node/6190301140,"/clev?event=StartpageResultClick&sc=5mZRtno4HWSVQDgsK5v1axVr60916C7kyT6C7tVVbC9oMZdtLK7OAhpJfgZMus12fWkeXNOHvjiy1&payload={""bdsSessionId"":""530e49be832f45cfb403c46066dbd3e5"",""cheqId"":"""",""countryCode"":""US"",""deviceType"":""desktop"",""endpoint"":""search.serp"",""hasGoogleAds"":true,""page_id"":""kQkN2i6v0mlSCsNR"",""queryCategory"":""web"",""segment"":""startpage.udog"",""session_id"":""1hHTRGUd3A9dJGHB0"",""surface"":""serp-web"",""transport"":""href-request""}",Poor Website,,,,,,Official Website Found,,099779 39122,,,,45,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available,OpenStreetMap,Completed,2026-06-27
Poly Clinic,clinic,Clinic listed on OpenStreetMap,"50, 60,D, Scheme Number 78, Nayi Sadak, Indore","https://www.google.com/maps/search/?api=1&query=22.7681290,75.8950782",https://www.openstreetmap.org/node/6187556921,https://npiprofile.com/npi/1598811069,Poor Website,,,,,,Official Website Found,,8602225444,,,,45,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available,OpenStreetMap,Completed,2026-06-27
Ashadeep Hospital,hospital,Hospital listed on OpenStreetMap,"40-41/2 D/D SCHEME NO. 78 VIJAY NAGAR INDORE, 452010","https://www.google.com/maps/search/?api=1&query=22.7637651,75.8914441",https://www.openstreetmap.org/node/6187463592,https://www.latlong.net/poi/ashadeep-hospital-365272,Poor Website,,,,,,Official Website Found,,07314002654,,,,45,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available,OpenStreetMap,Completed,2026-06-27
Ethereal Skin and Laser Clinique,clinic,Clinic listed on OpenStreetMap,"109-C, Vasant Vihar, Indore","https://www.google.com/maps/search/?api=1&query=22.7577894,75.9035814",https://www.openstreetmap.org/node/6187463493,"/clev?event=StartpageResultClick&sc=1tzfoDyGcH0IeyjPKECnAnS18zwK3xQuy56rrdfRwnmSr8FBI2jgUP3pV7BV55z5why8eMy9R2bsbVaB&payload={""bdsSessionId"":""99c765c4f31e4c35a03cd0c61efee4a9"",""cheqId"":"""",""countryCode"":""US"",""deviceType"":""mobile"",""endpoint"":""search.serp"",""hasGoogleAds"":false,""page_id"":""1d0GLN5csGIqBduBO"",""queryCategory"":""web"",""segment"":""startpage.udog"",""session_id"":""18vNKnRAzzi2RXdy3"",""surface"":""serp-web"",""transport"":""href-request""}",Poor Website,,,,,,Official Website Found,,07312550202,,,,45,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available,OpenStreetMap,Completed,2026-06-27
Ethereal Skin and Laser Clinique,pharmacy,Pharmacy listed on OpenStreetMap,"109-C, Vasant Vihar, Indore","https://www.google.com/maps/search/?api=1&query=22.7578302,75.9036082",https://www.openstreetmap.org/node/6187463485,"/clev?event=StartpageResultClick&sc=5mZRtno4I16aNu4UKpOIWz8qzoCwduli6s38YRjWIMyUdCAcnxVaYC3VVa2ugqaCTPdMfJoXJ9j2d&payload={""bdsSessionId"":""520d76cef36549e8876573f8525464db"",""cheqId"":"""",""countryCode"":""US"",""deviceType"":""desktop"",""endpoint"":""search.serp"",""hasGoogleAds"":true,""page_id"":""TBbpQgGs5diRUMAq"",""queryCategory"":""web"",""segment"":""startpage.udog"",""session_id"":""1gBJSibSIwf0hpB0Z"",""surface"":""serp-web"",""transport"":""href-request""}",Poor Website,,,,,,Official Website Found,,07312550202,,,,45,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available,OpenStreetMap,Completed,2026-06-27
Heart and Diabetes Care Center,clinic,Clinic listed on OpenStreetMap,"Kushabhau Thakre Marg, Sheetal Nagar,Scheme No. 54, Indore","https://www.google.com/maps/search/?api=1&query=22.7534658,75.9021176",https://www.openstreetmap.org/node/6187444638,https://streets.openalfa.in/streets/badal-chand-mehta-road-mahalakshmi-nagar-indore-tahsil,Poor Website,,,,,,Official Website Found,,9755722233,,,,45,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available,OpenStreetMap,Completed,2026-06-27
Sanjivani Ayurveda Medical,pharmacy,Pharmacy listed on OpenStreetMap,"EC 10, Bombay Hospital Sqaure, Indore","https://www.google.com/maps/search/?api=1&query=22.7529191,75.9050024",https://www.openstreetmap.org/node/6187436059,https://www.latlong.net/poi/sanjivani-ayurveda-medical-411183,Poor Website,,,,,,Official Website Found,,9039137640,,,,45,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available,OpenStreetMap,Completed,2026-06-27
दांत एवं ऑर्थोडेंटिक चिकित्सा केंद्र - डॉ राकेश ठकराल,dentist,Dentist listed on OpenStreetMap,Indore,"https://www.google.com/maps/search/?api=1&query=22.7559120,75.8872703",https://www.openstreetmap.org/node/6187438668,https://teeth.in/dentists/indore/,Poor Website,,,,,,Official Website Found,,9425058561,,,,45,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available,OpenStreetMap,Completed,2026-06-27
Dr. Pankaj Chauhan Physician,clinic,Clinic listed on OpenStreetMap,"Shivani nagar, Kabeet Khedi Road, Indore","https://www.google.com/maps/search/?api=1&query=22.7671372,75.8787543",https://www.openstreetmap.org/node/6187442715,"/clev?event=StartpageResultClick&sc=maXqNizpmhUAXqfQ79P8MS1bBkmQzCTmfdccfystHhGtd4HeWtTVTBGmZE5ThqkFIwD8xPwIBv80Tr&payload={""bdsSessionId"":""fd4f63f7e93e463eb27bef42542434e1"",""cheqId"":"""",""countryCode"":""US"",""deviceType"":""desktop"",""endpoint"":""search.serp"",""hasGoogleAds"":true,""page_id"":""1uk9VWijavDcubLf3"",""queryCategory"":""web"",""segment"":""startpage.udog"",""session_id"":""QaNTmfjKJHXDBMQJ"",""surface"":""serp-web"",""transport"":""href-request""}",Poor Website,,,,,,Official Website Found,,9827635579,,,,45,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available,OpenStreetMap,Completed,2026-06-27
Total Homeopathic Pharmacy and Clinic,clinic,Clinic listed on OpenStreetMap,"scheme number 94,near Bombay Hospital square","https://www.google.com/maps/search/?api=1&query=22.7531467,75.9044143",https://www.openstreetmap.org/node/6187436058,https://www.latlong.net/poi/total-homeopathic-pharmacy-and-clinic-396341,Poor Website,,,,,,Official Website Found,,9926569141,,,,45,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available,OpenStreetMap,Completed,2026-06-27
Shri Balaji Healthcare Pharmacy,pharmacy,Pharmacy listed on OpenStreetMap,"186, Sheetali Nagar, Indore","https://www.google.com/maps/search/?api=1&query=22.7501646,75.9009220",https://www.openstreetmap.org/node/6187447526,"/clev?event=StartpageResultClick&sc=maXqNizpm0lYtuzohLopbMZOTP9FQKN2puif0Iao92k2ZV65b1Ml9sg75MKarGt9DO2zPfC7MpsKm1&payload={""bdsSessionId"":""aee5b9a97cbc4d26b6746f94a7bde336"",""cheqId"":"""",""countryCode"":""US"",""deviceType"":""desktop"",""endpoint"":""search.serp"",""hasGoogleAds"":true,""page_id"":""r6C1AxgpMqdEbl00"",""queryCategory"":""web"",""segment"":""startpage.opera"",""session_id"":""2cSTyOJqmm5hW1MZ"",""surface"":""serp-web"",""transport"":""href-request""}",Poor Website,,,,,,Official Website Found,,9009992551,,,,45,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available,OpenStreetMap,Completed,2026-06-27
Shubham Dental Clinic,clinic,Clinic listed on OpenStreetMap,"102, Amar Point, Indore","https://www.google.com/maps/search/?api=1&query=22.7531714,75.9045571",https://www.openstreetmap.org/node/6187452261,"/clev?event=StartpageResultClick&sc=maXqNizpmIX7CXf2UPw91VCUpi00nPQZaZxQIlNVQjrBwtxTs2gb1hdyqjR7uvMWU58CQT0shu16fb&payload={""bdsSessionId"":""c588aad9d2fb4dd38cb47b63413754a6"",""cheqId"":"""",""countryCode"":""US"",""deviceType"":""desktop"",""endpoint"":""search.serp"",""hasGoogleAds"":true,""page_id"":""1CAKpafuDO4BplriQ"",""queryCategory"":""web"",""segment"":""startpage.udog"",""session_id"":""VgpbGE9fiWp8d9mx"",""surface"":""serp-web"",""transport"":""href-request""}",Poor Website,,,,,,Official Website Found,,9826927632,,,,45,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available,OpenStreetMap,Completed,2026-06-27
Atika Medical,pharmacy,Pharmacy listed on OpenStreetMap,"180, Badi Bhamori Plaza, Indore","https://www.google.com/maps/search/?api=1&query=22.7467123,75.8877179",https://www.openstreetmap.org/node/6190332347,https://providers.chihealth.com/l/chi-health-clinic-heart-institute-mercy-council-bluffs-1585,Poor Website,,,,,,Official Website Found,,8109558525,,,https://www.linkedin.com/company/chi-health,45,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available,OpenStreetMap,Completed,2026-06-27
Suyash hospital and Pathology,laboratory,Laboratory listed on OpenStreetMap,"malwa pride,vijay nagar,indore, indore","https://www.google.com/maps/search/?api=1&query=22.7576669,75.8842877",https://www.openstreetmap.org/node/6187914689,"/clev?event=StartpageResultClick&sc=5mZRtno4J6gAyABZA8JO9M3jdVPt6dvGpuuA2OdENa9S3Q5N4gLP2nXyWXYAs6atAk7kNDAmltSz3&payload={""bdsSessionId"":""bf73492cc56a4f7d8be1bf34d4dabc5d"",""cheqId"":"""",""countryCode"":""US"",""deviceType"":""desktop"",""endpoint"":""search.serp"",""hasGoogleAds"":true,""page_id"":""oFV90C5FYHIuZBol"",""queryCategory"":""web"",""segment"":""startpage.udog"",""session_id"":""11lr5wmo5btBX8881"",""surface"":""serp-web"",""transport"":""href-request""}",Poor Website,,,,,,Official Website Found,,9425057527,,,,45,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available,OpenStreetMap,Completed,2026-06-27
Care Ayurveda Clinic,hospital,Hospital listed on OpenStreetMap,"FH-449, Scheme no 54, Vijay Nagar, Indore","https://www.google.com/maps/search/?api=1&query=22.7537243,75.8877236",https://www.openstreetmap.org/node/6187574785,https://yellowpages.webindia123.com/d-py/madhya-pradesh/indore/panchakarma-centers-1575/1/,Poor Website,,,,,,Official Website Found,,9827089853,,,,45,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available,OpenStreetMap,Completed,2026-06-27
Thyrocare,laboratory,Laboratory listed on OpenStreetMap,"FF 13, opposite apollo hospital,scheme no.54, indore","https://www.google.com/maps/search/?api=1&query=22.7573058,75.8847892",https://www.openstreetmap.org/node/6187914688,www.thryocare.com,Poor Website,,,,,,Official Website,,07314048089,,,,45,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available,OpenStreetMap,Completed,2026-06-27
Dr.Renu Dubey(Sharma),clinic,Clinic listed on OpenStreetMap,"EB251, scheme number 94,maharaja chatrasal chouraha","https://www.google.com/maps/search/?api=1&query=22.7536266,75.9048293",https://www.openstreetmap.org/node/6187574518,,Poor Website,,,,,,No Strong Online Presence Found,,,,,,45,Medium,Business has some online presence but limited contact or digital information.,Website exists but digital quality is weak; Business has weak online visibility; Phone number not available; Email address not available,OpenStreetMap,Completed,2026-06-27
डॉक्टर सुधीर छाजेड़ एवं डॉक्टर स्नेहा छाजेड़,doctors,Doctors listed on OpenStreetMap,Indore,"https://www.google.com/maps/search/?api=1&query=22.7554526,75.8883306",https://www.openstreetmap.org/node/6187572567,https://hospital.sriaurobindouniversity.edu.in/,Poor Website,,,,,,Official Website Found,,"07312551437 , 9826040030",,,,45,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available,OpenStreetMap,Completed,2026-06-27
Surya Medical Store,pharmacy,Pharmacy listed on OpenStreetMap,"242-A, Sheetal Nagar, Indore","https://www.google.com/maps/search/?api=1&query=22.7504716,75.9005968",https://www.openstreetmap.org/node/6187562530,https://bestcare.org/locations/methodist-physicians-clinic-201-building,Poor Website,,,,,,Official Website Found,,8889509885,,Specific department hours may vary Department,https://www.linkedin.com/company/nebraska-methodist-health-system,45,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available,OpenStreetMap,Completed,2026-06-27
Dental Solutions and Implant Clinic- Dr. Amit Nirwan and Himani Nirwan,dentist,Dentist listed on OpenStreetMap,"LG-7, Sayaji Plaza, Opp Bhandari Hospital, Indore","https://www.google.com/maps/search/?api=1&query=22.7518728,75.8891760",https://www.openstreetmap.org/node/6187578004,"/clev?event=StartpageResultClick&sc=1tzfoDyGcGZSiF51ijs6XWdaNOaim2WDoPw8bs3sdMiuErR02fuEiTRnZ4bsru5dF67Up9pAevAe0lNH&payload={""bdsSessionId"":""f230205bcfdf4f8ea35631f517075965"",""cheqId"":"""",""countryCode"":""US"",""deviceType"":""mobile"",""endpoint"":""search.serp"",""hasGoogleAds"":false,""page_id"":""1Aze4OW0AfKNd9Yyr"",""queryCategory"":""web"",""segment"":""startpage.udog"",""session_id"":""l8r3FhBfOM7Ccy76"",""surface"":""serp-web"",""transport"":""href-request""}",Poor Website,,,,,,Official Website Found,,"07314239444 , 9826059888",,,,45,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available,OpenStreetMap,Completed,2026-06-27
Padmakshi Medicose,pharmacy,Pharmacy listed on OpenStreetMap,"14, Bhamori Plaza, Indore","https://www.google.com/maps/search/?api=1&query=22.7468947,75.8885956",https://www.openstreetmap.org/node/6190309084,"/clev?event=StartpageResultClick&sc=1tzfoDyGcGYJdg7y8olvnIIE30tBDChM64Fs1b75UStDPxg71PAw0vVl8GKpbGng4GAi5PwV6Pru4Z5P&payload={""bdsSessionId"":""4dff9d2321ed47bfa7ce802eac66b130"",""cheqId"":"""",""countryCode"":""US"",""deviceType"":""desktop"",""endpoint"":""search.serp"",""hasGoogleAds"":true,""page_id"":""1CNqXd4ccj4fkhVyE"",""queryCategory"":""web"",""segment"":""startpage.udog"",""session_id"":""daZJKahYW0nz2sUF"",""surface"":""serp-web"",""transport"":""href-request""}",Poor Website,,,,,,Official Website Found,,7772060474,,,,45,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available,OpenStreetMap,Completed,2026-06-27
डॉक्टर एच. लालानी,doctors,Doctors listed on OpenStreetMap,"404 F/H, Scheme no.54, Vijay Nagar, Indore","https://www.google.com/maps/search/?api=1&query=22.7538257,75.8859479",https://www.openstreetmap.org/node/6187459246,"/clev?event=StartpageResultClick&sc=maXqNizptRUXm0dqRs2FNAqqgWjqB7Dc797ZCqbsHHGaaBKwddmzN4iNdhYBf2tCilias8oqXx3iFL&payload={""bdsSessionId"":""ec4f60a30e1543eb838d7cd7a4f6587d"",""cheqId"":"""",""countryCode"":""US"",""deviceType"":""mobile"",""endpoint"":""search.serp"",""hasGoogleAds"":false,""page_id"":""1ldwFbvD85IH4mZDu"",""queryCategory"":""web"",""segment"":""startpage.udog"",""session_id"":""1l6UX9tMbMUIqJxZY"",""surface"":""serp-web"",""transport"":""href-request""}",Poor Website,,,,,,Official Website Found,,9827022202,,,,45,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available,OpenStreetMap,Completed,2026-06-27
Dr. H.L.Jain,clinic,Clinic listed on OpenStreetMap,"C-59, Vasant Vihar Colony, Indore","https://www.google.com/maps/search/?api=1&query=22.7573429,75.9031536",https://www.openstreetmap.org/node/6187534828,"/clev?event=StartpageResultClick&sc=maXqNizpr2pX3LpSL3foUYQJCkK0qRmGfkpzoQjFkxg384ZPm3bnJG5ZcDWgWfZ7r2vez2ib7oKq4J&payload={""bdsSessionId"":""1bd0e98cb9e44499b5b45e340348ae4d"",""cheqId"":"""",""countryCode"":""US"",""deviceType"":""desktop"",""endpoint"":""search.serp"",""hasGoogleAds"":true,""page_id"":""1cxmxDV13cC3ViRsV"",""queryCategory"":""web"",""segment"":""startpage.udog"",""session_id"":""1kE7g9lw6ebohKBqY"",""surface"":""serp-web"",""transport"":""href-request""}",Poor Website,,,,,,Official Website Found,,9424819200,,,,45,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available,OpenStreetMap,Completed,2026-06-27
Arogyam Homeopathic Clinic- Dr. Rajesh Bhordiya & Dr. Tanuja Bhordiya,hospital,Hospital listed on OpenStreetMap,"UG-9, Royal View, Vijay Nagar, Indore","https://www.google.com/maps/search/?api=1&query=22.7537168,75.8858655",https://www.openstreetmap.org/node/6187545548,"/clev?event=StartpageResultClick&sc=5mZRtno4HaTg7yvnIucdTLWZpDLnFPb6SpBAt5zyOpmkrgmdModNhhYAGIZEwXhIhfEGSqPUyrOYB&payload={""bdsSessionId"":""de34f6a79cc04da1bd8d022f34128e23"",""cheqId"":"""",""countryCode"":""US"",""deviceType"":""mobile"",""endpoint"":""search.serp"",""hasGoogleAds"":false,""page_id"":""tnyLJ5AS1kVjaiUl"",""queryCategory"":""web"",""segment"":""startpage.udog"",""session_id"":""jnKlIOwzaqonEKTX"",""surface"":""serp-web"",""transport"":""href-request""}",Poor Website,,,,,,Official Website Found,,9826011330,,,,45,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available,OpenStreetMap,Completed,2026-06-27
Indore Path Lab,laboratory,Laboratory listed on OpenStreetMap,"Sch 78,Nayi sadak","https://www.google.com/maps/search/?api=1&query=22.7686595,75.8908296",https://www.openstreetmap.org/node/6187530751,https://www.chamberofcommerce.com/business-directory/iowa/council-bluffs/medical-clinic/2011525217-chi-health-mercy-council-bluffs,Poor Website,,,,,,Official Website Found,,7756077479,,,,45,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available,OpenStreetMap,Completed,2026-06-27
Sankalp Physiotherapy Clinic,clinic,Clinic listed on OpenStreetMap,"EC 16, Scheme No 94, Bombay Hospital Square, Indore","https://www.google.com/maps/search/?api=1&query=22.7531557,75.9043315",https://www.openstreetmap.org/node/6187534264,https://providers.chihealth.com/l/chi-health-clinic-heart-institute-mercy-council-bluffs-1585,Poor Website,,,,,,Official Website Found,,9977194405,,,https://www.linkedin.com/company/chi-health,45,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available,OpenStreetMap,Completed,2026-06-27
Dr Pawar Clinic,clinic,Clinic listed on OpenStreetMap,"7, New Anjani Nagar, Near Bhamori Bridge, Indore","https://www.google.com/maps/search/?api=1&query=22.7458770,75.8863489",https://www.openstreetmap.org/node/6187559822,"/clev?event=StartpageResultClick&sc=1tzfoDyGcGTYSOiltmH4oPiE82rzS94p0PXNTDC5uyBOqdkM7ZGzt8A5RJouhJ2O3Sl5gkcvDOukdxsp&payload={""bdsSessionId"":""bd813ee6e1834adbac762caeb547e8cf"",""cheqId"":"""",""countryCode"":""US"",""deviceType"":""mobile"",""endpoint"":""search.serp"",""hasGoogleAds"":true,""page_id"":""17k9amZR0vCIOdOJD"",""queryCategory"":""web"",""segment"":""startpage.udog"",""session_id"":""jrxLLmkyjCWPBejI"",""surface"":""serp-web"",""transport"":""href-request""}",Poor Website,,,,,,Official Website Found,,9131050468,,,,45,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available,OpenStreetMap,Completed,2026-06-27
